,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Arizona,2022,2,22.75,6.84,72.7,114.7,0.349,0.359,0.587,55.0,65.0,9.2,13.4,0.556,15.8,34.6
1,Wright State,2022,0,-1.94,-5.11,70.0,108.3,0.318,0.327,0.554,50.9,51.3,8.4,7.6,0.516,15.2,30.8
2,Seton Hall,2022,0,12.75,8.52,68.7,104.4,0.312,0.359,0.521,51.8,40.8,10.2,13.8,0.481,14.9,32.6
3,TCU,2022,1,13.72,10.16,67.2,101.1,0.314,0.317,0.516,56.0,53.8,9.5,11.2,0.487,17.9,37.8
4,Illinois,2022,1,16.69,9.48,67.9,108.8,0.32,0.426,0.554,53.8,58.1,7.6,7.1,0.525,15.5,33.1
5,Chattanooga,2022,0,6.12,-0.94,66.0,111.6,0.266,0.389,0.56,53.7,47.0,10.8,6.4,0.531,14.2,32.7
6,Houston,2022,3,22.55,6.47,65.0,113.9,0.29,0.389,0.551,54.9,58.5,12.2,17.1,0.531,14.1,37.7
7,UAB,2022,0,10.9,-0.14,70.4,112.9,0.284,0.332,0.56,53.1,43.8,13.4,11.6,0.53,13.8,33.7
8,Villanova,2022,4,19.31,10.29,63.6,112.5,0.298,0.463,0.56,51.5,48.9,9.4,6.8,0.515,13.4,31.2
9,Delaware,2022,0,0.32,-1.82,68.0,107.2,0.339,0.388,0.57,49.2,48.4,9.7,9.8,0.536,16.3,26.9
10,Ohio State,2022,1,14.17,9.08,65.1,110.9,0.334,0.395,0.578,52.0,48.8,6.9,12.8,0.543,15.1,29.3
11,Loyola (IL),2022,0,13.39,2.93,65.7,109.2,0.313,0.431,0.583,52.1,57.5,10.4,7.3,0.558,16.4,25.1
12,Tennessee,2022,1,20.46,9.94,68.6,106.2,0.29,0.402,0.536,52.2,63.0,13.5,12.9,0.507,15.2,32.5
13,Longwood,2022,0,-0.35,-6.11,67.8,110.8,0.345,0.369,0.556,54.8,53.2,11.4,7.7,0.521,15.1,34.2
14,Colorado State,2022,0,11.51,4.77,66.0,110.4,0.296,0.395,0.583,49.8,53.8,9.6,9.8,0.551,13.8,22.1
15,Michigan,2022,2,14.26,11.02,67.5,107.7,0.294,0.321,0.554,54.1,52.6,7.0,8.6,0.521,15.1,31.0
16,Kansas,2022,6,22.28,11.3,69.5,111.5,0.323,0.331,0.567,53.4,53.6,8.9,10.9,0.538,14.9,32.9
17,Texas Southern,2022,0,-3.3,-6.24,69.7,98.6,0.336,0.309,0.514,53.2,42.7,7.9,13.6,0.482,18.2,33.0
18,San Diego State,2022,0,13.13,5.85,65.3,99.0,0.311,0.308,0.518,51.5,50.2,11.3,14.4,0.487,16.8,29.5
19,Creighton,2022,1,11.34,8.54,68.1,100.5,0.267,0.381,0.537,51.7,52.0,8.0,10.1,0.506,17.9,28.4
20,Providence,2022,2,13.08,7.75,65.9,106.5,0.37,0.38,0.54,52.2,54.1,7.5,9.7,0.5,14.7,30.3
21,South Dakota State,2022,0,6.6,-3.77,71.7,119.3,0.333,0.354,0.627,52.7,49.0,8.5,6.9,0.6,13.8,24.0
22,Iowa,2022,0,18.9,6.87,70.3,117.5,0.3,0.393,0.564,51.0,53.9,10.4,11.3,0.533,11.1,32.2
23,Richmond,2022,1,7.07,4.48,67.4,104.7,0.31,0.417,0.542,47.6,57.4,11.2,6.3,0.511,13.0,22.4
24,Auburn,2022,1,19.2,8.17,71.3,108.1,0.316,0.398,0.534,52.5,53.1,11.5,21.1,0.499,14.2,33.6
25,Jacksonville State,2022,0,-0.19,-3.79,67.5,108.6,0.308,0.428,0.571,52.9,54.7,9.2,8.8,0.549,16.9,29.5
26,Southern California,2022,0,12.5,6.09,67.5,106.4,0.309,0.322,0.536,54.3,53.3,7.4,11.1,0.512,15.3,33.5
27,Miami (FL),2022,3,11.22,7.62,67.8,108.6,0.288,0.355,0.563,46.4,51.7,13.0,9.0,0.533,12.7,22.4
28,Wisconsin,2022,1,13.13,9.16,67.0,104.4,0.324,0.36,0.518,50.1,44.8,7.9,7.8,0.477,11.4,26.0
29,Colgate,2022,0,0.98,-6.37,67.6,111.4,0.262,0.422,0.579,51.9,62.0,9.0,9.3,0.559,14.8,26.6
30,Louisiana State,2022,0,17.45,8.3,70.4,102.3,0.334,0.348,0.531,51.5,49.0,15.5,14.6,0.493,17.7,33.9
31,Iowa State,2022,2,12.38,9.33,67.2,96.9,0.271,0.377,0.517,49.3,60.4,12.6,9.8,0.491,17.9,28.4
32,Gonzaga,2022,2,25.46,4.5,73.8,118.1,0.306,0.353,0.608,55.7,55.3,8.7,13.4,0.587,13.9,29.1
33,Georgia State,2022,0,-1.11,-1.34,68.6,101.7,0.295,0.371,0.498,50.7,54.2,12.7,12.8,0.461,14.1,33.9
34,Boise State,2022,0,11.93,5.22,64.9,104.1,0.35,0.388,0.536,53.6,47.0,9.2,9.6,0.512,15.9,30.6
35,Memphis,2022,1,14.67,7.86,71.0,105.8,0.378,0.304,0.555,54.3,58.7,11.8,16.2,0.523,19.1,37.4
36,Arkansas,2022,3,16.27,8.62,72.0,104.8,0.372,0.342,0.533,52.0,52.7,10.5,11.7,0.486,14.6,29.5
37,Vermont,2022,0,7.81,-5.7,65.1,114.4,0.265,0.43,0.594,54.7,55.0,7.8,7.2,0.57,13.2,24.3
38,Connecticut,2022,0,16.4,6.88,66.8,109.8,0.305,0.345,0.534,55.1,52.6,8.7,16.6,0.496,14.4,37.7
39,New Mexico State,2022,1,7.11,1.24,68.3,105.7,0.341,0.424,0.554,55.1,53.5,7.3,12.2,0.524,17.7,33.0
40,Duke,2022,4,19.55,7.26,68.2,117.0,0.286,0.357,0.583,52.8,55.4,9.3,13.4,0.557,13.0,31.6
41,Cal State Fullerton,2022,0,-0.04,-2.28,67.2,104.1,0.351,0.3,0.539,51.1,45.5,10.8,5.7,0.494,15.7,29.7
42,Michigan State,2022,1,13.18,9.96,67.9,106.5,0.299,0.337,0.553,53.0,60.2,8.4,13.6,0.52,16.3,30.7
43,Davidson,2022,0,10.43,1.92,66.1,113.8,0.316,0.412,0.591,52.3,54.8,7.0,8.2,0.561,13.3,23.8
44,Texas Tech,2022,2,20.08,8.65,67.3,106.0,0.351,0.341,0.556,54.6,52.2,11.8,12.0,0.526,17.2,33.2
45,Montana State,2022,0,-0.26,-5.54,69.5,108.9,0.384,0.373,0.58,53.1,50.1,7.4,10.1,0.541,16.3,27.3
46,Alabama,2022,0,14.62,11.59,73.2,108.1,0.329,0.476,0.547,52.3,53.1,9.6,11.9,0.513,16.7,35.3
47,Notre Dame,2022,1,11.87,7.01,65.9,108.6,0.267,0.423,0.571,50.2,53.8,7.8,4.8,0.543,14.1,22.4
