,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
48,Baylor,2022,1,21.73,8.76,68.6,111.4,0.29,0.384,0.553,53.4,56.3,12.7,9.7,0.528,15.1,36.3
49,Norfolk State,2022,0,-3.91,-9.3,70.7,105.0,0.371,0.356,0.554,53.4,47.4,9.4,11.2,0.522,17.3,30.7
50,North Carolina,2022,5,15.5,8.89,70.3,109.7,0.303,0.381,0.551,55.8,54.1,7.3,9.7,0.515,14.2,31.8
51,Marquette,2022,0,11.36,8.96,71.6,102.6,0.262,0.418,0.55,46.9,59.3,10.8,12.9,0.521,15.5,22.5
52,UCLA,2022,2,19.3,8.36,66.5,111.4,0.294,0.312,0.539,52.5,50.3,10.3,9.6,0.505,11.3,31.4
53,Akron,2022,0,0.91,-3.93,64.1,109.8,0.39,0.416,0.563,53.0,47.9,9.1,9.2,0.533,15.4,30.6
54,Saint Mary's (CA),2022,1,14.82,6.58,65.5,106.5,0.24,0.363,0.556,53.4,51.6,10.6,6.6,0.528,15.2,27.8
55,Indiana,2022,0,12.71,8.08,67.9,103.2,0.335,0.311,0.538,51.8,56.6,8.2,14.1,0.506,15.2,27.0
56,Kentucky,2022,0,20.9,8.02,69.2,114.0,0.28,0.279,0.559,56.9,53.3,9.7,11.1,0.531,14.0,37.7
57,Saint Peter's,2022,3,2.96,-0.47,66.7,99.6,0.371,0.303,0.519,51.5,52.4,10.5,14.8,0.48,17.2,31.3
58,Murray State,2022,1,9.87,-3.07,68.3,115.5,0.325,0.377,0.567,55.5,51.2,11.4,9.5,0.542,14.1,35.8
59,San Francisco,2022,0,14.12,5.24,70.9,108.7,0.29,0.453,0.56,53.4,46.9,10.8,11.6,0.537,15.6,30.2
60,Purdue,2022,2,19.15,8.23,66.7,117.8,0.382,0.392,0.593,57.1,58.6,6.9,9.7,0.565,15.0,35.2
61,Yale,2022,0,-0.1,-1.34,70.3,101.8,0.321,0.359,0.537,50.2,46.7,8.8,9.3,0.501,16.1,25.7
62,Texas,2022,1,17.01,8.87,64.5,105.9,0.32,0.361,0.538,50.8,54.1,11.8,10.1,0.501,15.3,31.5
63,Virginia Tech,2022,0,14.48,6.48,63.6,111.0,0.245,0.411,0.576,51.4,55.2,8.4,9.3,0.551,15.0,27.9
