,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
48,Wisconsin,2015,5,24.61,10.29,59.5,121.1,0.362,0.374,0.585,54.7,49.7,7.3,8.2,0.548,10.7,32.1
49,Coastal Carolina,2015,0,-1.02,-6.18,65.2,110.0,0.411,0.333,0.537,55.7,46.1,10.8,10.2,0.5,15.0,37.5
50,Oregon,2015,1,11.43,7.65,68.0,109.3,0.286,0.339,0.557,50.9,51.2,8.3,11.0,0.524,14.7,30.8
51,Oklahoma State,2015,0,12.95,9.63,64.6,103.6,0.387,0.388,0.547,48.6,49.9,12.1,13.7,0.507,16.6,27.8
52,North Carolina,2015,2,20.63,11.76,69.2,111.6,0.353,0.223,0.548,55.2,60.1,9.5,11.3,0.516,15.1,40.0
53,Harvard,2015,0,4.47,-0.25,61.2,103.2,0.393,0.266,0.524,52.5,57.2,11.4,13.1,0.481,16.0,32.7
54,Arkansas,2015,1,14.07,6.79,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12.0,0.5,14.3,35.7
55,Wofford,2015,0,2.56,-2.98,62.7,106.2,0.382,0.331,0.547,51.1,56.4,10.4,7.2,0.516,15.1,29.1
56,Arizona,2015,3,24.33,7.41,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5
57,Texas Southern,2015,0,-5.98,-6.09,64.5,103.6,0.468,0.312,0.531,50.0,45.8,9.3,7.7,0.495,16.8,33.8
58,Virginia Commonwealth,2015,0,12.79,6.1,66.4,106.5,0.373,0.399,0.518,49.2,50.9,14.0,12.5,0.487,13.2,31.8
59,Ohio State,2015,1,19.68,7.37,66.0,113.2,0.347,0.319,0.567,51.5,55.4,11.4,14.6,0.542,14.6,33.5
60,Baylor,2015,0,17.85,9.33,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4
61,Georgia State,2015,1,5.47,-2.03,64.3,109.8,0.383,0.278,0.563,48.9,53.1,14.1,13.5,0.527,14.2,30.0
62,Xavier,2015,2,15.42,9.48,65.6,109.8,0.385,0.331,0.57,52.8,62.3,9.0,8.3,0.534,15.8,31.3
63,Mississippi,2015,0,11.39,7.01,67.0,107.9,0.361,0.331,0.527,51.8,53.1,9.8,11.3,0.478,13.9,34.8
