,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Villanova,2015,1,23.13,7.55,65.0,116.9,0.418,0.429,0.589,51.5,62.2,11.8,11.0,0.553,14.0,32.5
1,Lafayette,2015,0,-3.37,-3.12,64.8,112.9,0.305,0.356,0.589,48.3,58.9,8.4,6.9,0.557,15.1,28.4
2,NC State,2015,2,14.11,9.72,64.5,108.0,0.354,0.322,0.526,52.3,46.4,5.9,13.1,0.493,13.5,34.0
3,Louisiana State,2015,0,11.39,5.63,69.6,103.1,0.335,0.284,0.533,51.5,57.8,10.2,14.0,0.503,17.3,33.9
4,Louisville,2015,3,18.12,8.98,65.5,104.5,0.387,0.314,0.512,51.8,47.7,11.9,14.4,0.477,14.4,34.7
5,UC Irvine,2015,0,3.63,0.45,63.7,105.2,0.292,0.301,0.544,51.2,56.2,8.9,12.6,0.52,15.8,30.2
6,Northern Iowa,2015,1,12.54,2.0,57.4,111.9,0.398,0.399,0.593,51.9,53.2,10.2,7.8,0.559,15.9,27.0
7,Wyoming,2015,0,3.81,-0.04,58.3,103.1,0.394,0.397,0.56,49.9,67.1,9.2,8.9,0.526,16.9,22.3
8,Virginia,2015,1,21.73,7.81,58.6,110.8,0.349,0.275,0.543,56.0,53.5,9.3,13.3,0.506,13.4,34.2
9,Belmont,2015,0,0.35,-2.77,67.5,109.9,0.324,0.48,0.589,50.3,58.7,9.4,5.5,0.567,17.8,29.0
10,Michigan State,2015,4,17.46,10.0,63.0,109.7,0.327,0.35,0.55,53.9,63.7,8.0,12.6,0.532,14.9,33.4
11,Georgia,2015,0,12.42,8.6,64.9,102.8,0.477,0.311,0.53,53.0,55.0,8.4,12.4,0.485,16.5,32.2
12,Oklahoma,2015,2,18.65,9.94,67.4,105.2,0.328,0.338,0.532,51.1,48.6,10.0,12.9,0.493,15.1,31.5
13,Albany (NY),2015,0,-0.34,-5.18,61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6
14,Providence,2015,0,13.71,9.5,65.7,105.4,0.407,0.289,0.526,52.9,57.2,10.8,13.5,0.484,15.3,35.1
15,Dayton,2015,1,10.98,4.06,64.2,105.1,0.482,0.382,0.565,48.6,60.5,10.8,7.2,0.53,16.1,23.3
16,Duke,2015,6,24.97,9.87,65.9,119.4,0.398,0.334,0.593,53.9,53.5,10.7,9.0,0.566,13.9,35.8
17,Robert Morris,2015,0,-3.02,-3.5,66.7,102.6,0.355,0.306,0.536,47.9,50.1,12.8,8.1,0.501,17.2,31.0
18,San Diego State,2015,1,11.81,4.24,60.8,100.7,0.362,0.308,0.496,52.4,47.1,11.2,14.1,0.467,15.4,35.4
19,St. John's (NY),2015,0,11.85,9.04,67.6,104.6,0.363,0.301,0.529,47.4,48.9,11.0,16.8,0.494,13.7,28.4
20,Georgetown,2015,1,15.48,9.81,64.6,108.1,0.439,0.325,0.552,52.2,53.4,11.6,14.1,0.513,16.4,34.3
21,Eastern Washington,2015,0,0.79,-3.84,68.3,117.1,0.352,0.421,0.591,50.0,46.5,9.1,13.0,0.562,13.6,29.9
22,Utah,2015,2,20.98,7.42,62.6,113.5,0.432,0.372,0.588,53.7,57.6,9.5,13.5,0.557,16.1,31.6
23,Stephen F. Austin,2015,0,8.61,-4.2,68.0,115.2,0.427,0.37,0.594,54.2,65.4,11.2,10.0,0.557,17.5,37.9
24,Gonzaga,2015,3,21.12,5.12,65.2,120.3,0.387,0.317,0.606,55.5,57.2,9.1,8.4,0.584,13.9,34.1
25,North Dakota State,2015,0,-1.72,-3.63,61.9,103.7,0.358,0.35,0.534,51.3,42.4,7.6,10.7,0.501,14.0,25.6
26,Iowa,2015,1,15.83,8.39,64.5,107.4,0.38,0.302,0.527,52.9,58.7,9.9,13.1,0.481,14.4,35.6
27,Davidson,2015,0,11.97,3.19,67.2,117.1,0.287,0.456,0.578,50.3,60.9,7.9,7.5,0.556,12.2,30.0
28,Iowa State,2015,0,17.94,9.15,69.8,111.4,0.365,0.368,0.571,50.5,58.1,9.2,9.7,0.543,13.9,28.3
29,UAB,2015,1,1.94,1.62,65.9,101.5,0.35,0.297,0.52,51.0,59.1,9.7,13.0,0.477,16.8,34.2
30,Southern Methodist,2015,0,12.94,3.57,63.3,108.8,0.44,0.229,0.555,55.0,63.0,11.0,14.7,0.517,16.8,37.1
31,UCLA,2015,2,12.07,8.27,67.3,106.1,0.357,0.289,0.527,52.6,53.5,9.8,11.0,0.496,14.9,33.8
32,Kentucky,2015,4,28.72,8.67,63.7,115.5,0.439,0.271,0.558,54.9,55.0,10.1,18.2,0.515,13.6,39.5
33,Hampton,2015,0,-8.25,-7.08,69.5,96.1,0.438,0.326,0.496,50.1,46.7,9.6,10.5,0.456,17.3,31.8
34,Cincinnati,2015,1,10.72,4.4,59.6,102.8,0.371,0.297,0.527,53.5,51.8,10.8,15.4,0.495,17.7,37.3
35,Purdue,2015,0,12.93,7.64,65.0,106.4,0.417,0.324,0.539,53.5,61.1,8.3,13.6,0.502,16.8,36.5
36,Maryland,2015,1,13.32,7.63,64.7,106.1,0.445,0.387,0.562,51.1,48.1,7.4,11.9,0.512,16.7,28.9
37,Valparaiso,2015,0,6.29,-2.0,63.8,108.6,0.368,0.338,0.548,55.1,52.9,9.3,14.1,0.52,16.4,35.6
38,West Virginia,2015,2,15.12,9.29,68.7,104.9,0.404,0.336,0.499,52.1,56.7,15.5,8.7,0.461,15.1,40.2
39,Buffalo,2015,0,7.93,1.6,68.7,108.5,0.426,0.303,0.533,52.0,51.7,10.9,11.3,0.487,14.1,34.5
40,Kansas,2015,1,18.47,12.13,66.7,106.3,0.426,0.284,0.539,52.6,54.7,9.8,12.3,0.494,16.3,34.9
41,New Mexico State,2015,0,3.71,-3.67,62.9,107.5,0.441,0.257,0.548,54.9,50.2,10.2,9.2,0.509,18.2,39.9
42,Wichita State,2015,2,15.56,3.68,61.9,112.7,0.37,0.347,0.541,53.6,55.3,11.5,11.3,0.507,12.6,34.9
43,Indiana,2015,0,12.94,7.2,66.9,115.3,0.327,0.395,0.573,52.2,51.2,7.4,7.8,0.544,14.6,35.2
44,Notre Dame,2015,3,19.23,7.02,63.7,120.4,0.367,0.376,0.612,49.8,54.9,10.4,9.1,0.583,12.9,27.9
45,Northeastern,2015,0,2.03,-1.34,63.5,106.7,0.413,0.305,0.581,54.2,59.7,8.1,9.3,0.545,19.0,30.1
46,Butler,2015,1,16.64,8.62,64.2,105.9,0.408,0.287,0.522,54.2,47.5,9.8,8.8,0.484,14.3,34.7
47,Texas,2015,0,16.16,9.07,62.9,105.9,0.365,0.341,0.531,56.0,55.5,5.9,20.0,0.491,16.8,37.9
