,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Villanova,2017,1,23.8,9.28,65.6,117.6,0.35,0.433,0.612,53.0,52.3,11.0,9.0,0.575,15.0,30.0
1,Radford,2017,0,-11.34,-4.58,65.7,97.9,0.294,0.397,0.509,53.5,52.8,7.2,9.1,0.482,18.6,34.3
2,Wisconsin,2017,2,19.4,9.4,64.5,110.7,0.329,0.369,0.542,54.7,51.9,10.3,9.8,0.521,14.3,35.7
3,Virginia Tech,2017,0,12.77,8.38,69.8,112.5,0.409,0.397,0.603,48.2,56.0,5.6,7.0,0.569,15.5,23.4
4,Florida,2017,3,22.4,11.01,70.1,110.0,0.402,0.366,0.556,51.3,47.2,10.7,11.8,0.516,14.6,31.8
5,East Tennessee State,2017,0,7.31,-2.11,71.4,110.2,0.432,0.352,0.587,53.1,53.8,11.6,13.6,0.555,18.0,31.3
6,Virginia,2017,1,20.63,10.93,60.3,107.9,0.26,0.33,0.548,52.3,56.4,9.1,13.9,0.524,13.7,28.2
7,UNC Wilmington,2017,0,8.06,-0.55,71.5,118.1,0.317,0.411,0.578,51.6,52.7,9.3,8.2,0.555,12.4,32.8
8,Duke,2017,1,21.56,10.91,69.9,115.7,0.393,0.383,0.588,51.9,47.5,8.7,10.9,0.548,14.2,31.6
9,Troy,2017,0,-0.47,-3.36,70.1,110.9,0.393,0.403,0.565,51.8,49.3,8.5,9.8,0.528,15.3,31.6
10,South Carolina,2017,4,17.52,10.16,69.9,102.9,0.398,0.334,0.518,50.8,50.6,11.0,11.1,0.477,15.5,33.5
11,Marquette,2017,0,15.26,8.6,71.1,115.2,0.31,0.415,0.607,49.6,57.1,10.1,9.3,0.576,15.5,27.0
12,Baylor,2017,2,19.75,11.87,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13.0,0.53,17.1,40.2
13,New Mexico State,2017,0,4.66,-3.82,70.0,112.1,0.431,0.382,0.568,54.4,55.3,6.9,9.6,0.531,16.5,36.7
14,Southern Methodist,2017,0,18.71,4.45,63.7,116.6,0.36,0.365,0.574,56.3,61.9,9.0,11.1,0.547,14.3,37.1
15,Southern California,2017,1,11.48,6.4,70.1,111.2,0.368,0.366,0.56,50.3,56.4,9.9,13.3,0.522,13.7,30.9
16,Gonzaga,2017,5,25.26,4.13,70.9,116.4,0.39,0.329,0.596,54.7,51.8,9.6,11.2,0.567,14.2,29.8
17,South Dakota State,2017,0,-2.3,-0.66,69.2,109.6,0.404,0.456,0.581,50.7,52.1,7.4,7.2,0.537,16.4,27.4
18,Northwestern,2017,1,14.02,8.43,66.5,106.8,0.305,0.356,0.534,50.6,59.3,7.9,13.2,0.497,13.8,30.7
19,Vanderbilt,2017,0,13.69,10.72,67.1,105.6,0.348,0.486,0.563,50.0,55.2,6.2,9.8,0.521,16.3,24.7
20,West Virginia,2017,2,24.45,9.67,71.4,112.2,0.389,0.325,0.545,52.1,57.3,13.8,14.2,0.513,14.1,37.7
21,Bucknell,2017,0,5.89,-2.48,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7
22,Notre Dame,2017,1,17.81,9.78,67.7,113.8,0.286,0.406,0.573,48.7,57.8,10.4,9.7,0.536,12.3,27.3
23,Princeton,2017,0,6.57,-1.84,65.2,109.5,0.242,0.46,0.562,50.0,55.2,10.2,9.5,0.537,13.5,24.4
24,Arizona,2017,2,18.25,7.63,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1
25,North Dakota,2017,0,-1.83,-5.45,72.9,108.8,0.364,0.305,0.573,50.5,52.6,10.6,7.5,0.542,15.7,26.8
26,Saint Mary's (CA),2017,1,16.75,2.19,61.3,117.6,0.278,0.414,0.602,57.2,63.1,6.9,8.5,0.578,15.2,33.0
27,Virginia Commonwealth,2017,0,11.57,3.77,69.0,106.8,0.364,0.294,0.544,51.8,55.6,10.7,10.6,0.51,15.3,31.2
28,Florida State,2017,1,18.87,8.87,72.6,113.1,0.384,0.313,0.566,52.7,49.3,10.2,13.7,0.537,14.1,33.6
29,Florida Gulf Coast,2017,0,2.26,-3.42,69.3,113.8,0.329,0.315,0.579,53.9,52.3,8.7,9.7,0.554,15.3,33.9
30,Maryland,2017,0,12.79,8.29,68.1,108.1,0.398,0.411,0.557,50.3,57.1,8.0,11.9,0.523,16.3,31.1
31,Xavier,2017,3,14.8,11.51,68.2,109.0,0.411,0.361,0.552,54.4,57.1,8.8,7.7,0.519,15.7,34.5
32,Kansas,2017,3,23.53,12.23,71.4,115.4,0.36,0.359,0.583,53.0,54.5,9.6,11.2,0.561,15.1,33.9
33,UC Davis,2017,0,-5.21,-4.68,70.2,98.9,0.412,0.316,0.526,50.8,52.8,7.9,9.0,0.49,17.6,28.9
34,Miami (FL),2017,0,14.48,9.57,64.7,106.3,0.343,0.326,0.544,53.0,47.8,9.9,10.5,0.51,16.6,33.4
35,Michigan State,2017,1,13.67,10.5,68.2,105.1,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18.0,29.1
36,Purdue,2017,2,20.13,8.79,70.0,112.6,0.333,0.383,0.589,54.9,65.3,7.3,6.1,0.557,16.1,30.7
37,Vermont,2017,0,6.67,-3.27,65.4,112.4,0.341,0.325,0.58,52.8,50.5,8.7,11.4,0.554,15.0,30.3
38,Iowa State,2017,1,20.51,11.94,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6
39,Nevada,2017,0,10.49,2.03,70.9,112.0,0.413,0.402,0.561,52.4,59.9,7.6,11.0,0.525,13.4,30.3
40,Louisville,2017,1,22.47,11.15,68.5,112.0,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6
41,Jacksonville State,2017,0,-2.85,-3.24,65.3,105.7,0.346,0.367,0.559,52.7,57.5,6.8,10.8,0.528,18.0,31.5
42,Michigan,2017,2,18.8,10.17,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9.0,7.4,0.57,12.8,24.5
43,Oklahoma State,2017,0,19.19,12.22,72.7,117.8,0.383,0.357,0.583,52.9,50.8,10.5,8.1,0.539,15.1,38.1
44,Oregon,2017,4,20.8,8.38,68.8,114.2,0.347,0.388,0.582,52.9,56.3,9.4,17.2,0.554,14.7,32.2
45,Iona,2017,0,1.08,-2.47,72.3,109.9,0.31,0.4,0.569,48.2,55.3,9.3,7.7,0.534,14.6,26.9
46,Creighton,2017,0,17.27,8.95,72.9,112.3,0.277,0.358,0.592,49.3,55.5,8.4,7.6,0.576,15.2,24.8
47,Rhode Island,2017,1,12.88,4.62,67.4,108.8,0.392,0.323,0.538,51.8,51.0,9.6,15.7,0.507,14.0,32.8
48,North Carolina,2017,6,24.84,11.76,72.6,116.0,0.348,0.303,0.55,58.2,58.9,9.7,9.7,0.519,13.4,41.3
49,Texas Southern,2017,0,-6.41,-7.81,69.7,105.5,0.442,0.345,0.531,48.4,47.5,10.2,7.3,0.48,14.3,31.6
50,Arkansas,2017,1,14.04,8.6,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7
51,Seton Hall,2017,0,12.1,9.25,69.0,104.9,0.376,0.307,0.526,54.7,46.4,9.9,6.6,0.499,16.4,35.7
52,Butler,2017,2,17.7,10.23,67.3,112.6,0.371,0.376,0.581,50.6,50.0,8.9,8.4,0.546,13.4,27.1
53,Winthrop,2017,0,1.34,-6.12,71.5,108.3,0.37,0.429,0.568,50.3,47.5,8.9,13.1,0.535,15.7,27.1
54,Minnesota,2017,0,14.56,8.82,70.3,104.6,0.396,0.299,0.528,50.5,57.2,7.9,15.9,0.487,14.0,29.6
55,Middle Tennessee,2017,1,9.8,-0.48,66.4,112.4,0.304,0.299,0.567,53.9,54.4,10.1,8.3,0.543,13.6,30.7
56,Kentucky,2017,3,23.88,10.49,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13.0,0.529,13.4,33.2
57,Northern Kentucky,2017,0,-0.17,-2.84,70.8,107.3,0.363,0.422,0.557,53.1,52.4,8.1,7.1,0.529,16.4,31.7
58,Dayton,2017,0,12.98,4.27,69.4,108.9,0.436,0.381,0.571,49.7,61.0,11.2,11.9,0.538,15.0,25.8
59,Wichita State,2017,1,21.24,2.96,69.4,116.7,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,34.3
60,UCLA,2017,2,20.67,6.39,74.2,121.0,0.268,0.376,0.618,52.4,63.7,7.9,12.5,0.598,13.4,28.9
61,Kent State,2017,0,0.88,-1.63,70.7,107.0,0.328,0.349,0.521,54.0,45.5,8.9,9.7,0.484,14.9,38.7
62,Cincinnati,2017,1,18.43,5.49,65.1,113.3,0.325,0.361,0.547,53.3,57.5,11.1,13.9,0.52,12.9,35.5
63,Kansas State,2017,0,14.8,10.48,67.5,106.4,0.412,0.363,0.56,49.2,60.0,11.4,10.3,0.527,16.8,29.5
