,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Virginia,2014,2,18.38,7.86,60.6,108.8,0.42,0.297,0.542,54.7,56.6,8.6,12.0,0.508,13.8,33.2
1,Coastal Carolina,2014,0,-5.21,-6.31,68.6,104.2,0.385,0.319,0.528,53.2,42.0,9.2,8.6,0.491,16.9,35.1
2,Memphis,2014,1,13.02,7.14,70.6,108.2,0.399,0.275,0.547,51.5,61.7,12.2,11.0,0.522,15.8,35.6
3,George Washington,2014,0,10.6,4.42,67.9,107.3,0.466,0.284,0.546,52.5,54.9,10.4,11.2,0.515,16.2,35.1
4,Michigan State,2014,3,19.35,9.38,66.0,113.3,0.337,0.363,0.573,53.7,62.2,10.2,13.4,0.545,14.7,32.2
5,Delaware,2014,0,2.73,-1.1,70.9,111.7,0.439,0.345,0.546,48.1,40.3,8.4,8.5,0.504,11.6,29.1
6,Cincinnati,2014,0,15.26,5.28,63.6,107.5,0.387,0.309,0.519,53.2,52.8,12.4,16.0,0.477,14.4,39.1
7,Harvard,2014,1,10.79,-0.47,64.6,111.6,0.48,0.283,0.564,52.1,57.1,11.6,13.4,0.519,15.0,32.8
8,Villanova,2014,1,18.97,7.5,67.6,113.2,0.445,0.448,0.574,52.6,60.1,10.1,11.2,0.536,14.9,32.6
9,Milwaukee,2014,0,-1.53,-0.44,67.9,102.6,0.436,0.399,0.541,48.8,58.9,8.3,6.4,0.493,17.1,28.3
10,Connecticut,2014,6,17.23,8.63,65.5,108.9,0.383,0.343,0.562,50.2,50.3,10.7,15.2,0.515,15.2,30.4
11,Saint Joseph's,2014,0,9.05,5.08,66.0,108.1,0.436,0.369,0.563,52.0,56.7,6.7,11.9,0.539,15.9,29.0
12,Iowa State,2014,2,18.52,9.88,71.7,113.9,0.364,0.375,0.569,51.1,62.4,8.2,7.0,0.542,12.6,28.8
13,North Carolina Central,2014,0,3.97,-8.03,64.8,112.5,0.476,0.297,0.559,52.6,59.0,11.7,12.4,0.513,14.8,36.6
14,North Carolina,2014,1,15.24,8.42,70.0,108.5,0.429,0.211,0.526,53.4,54.9,10.4,12.5,0.499,14.1,38.1
15,Providence,2014,0,11.37,7.85,64.9,109.1,0.419,0.317,0.539,52.4,56.1,8.3,12.0,0.483,14.6,35.4
16,Florida,2014,4,20.69,8.54,62.7,111.1,0.424,0.346,0.552,53.8,53.9,11.2,8.6,0.522,14.5,34.7
17,Albany (NY),2014,0,-3.31,-5.22,63.1,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9
18,Colorado,2014,0,10.8,8.8,67.0,103.7,0.483,0.304,0.534,54.3,48.8,8.7,9.0,0.483,16.8,34.0
19,Pittsburgh,2014,1,17.46,7.54,62.5,113.0,0.443,0.269,0.55,54.5,62.9,11.1,8.6,0.507,13.7,37.3
20,UCLA,2014,2,18.4,7.62,70.0,115.1,0.382,0.275,0.579,51.2,59.3,13.1,9.0,0.541,12.7,29.8
