,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
21,Tulsa,2014,0,6.23,1.17,68.7,105.0,0.471,0.318,0.532,50.3,51.1,9.9,10.5,0.492,14.5,30.2
22,Virginia Commonwealth,2014,0,14.55,4.78,70.4,105.0,0.352,0.339,0.512,50.6,49.8,15.6,11.5,0.479,14.2,34.3
23,Stephen F. Austin,2014,1,4.82,-6.76,65.5,115.2,0.402,0.36,0.561,53.8,62.3,11.1,8.6,0.525,14.2,38.4
24,Kansas,2014,1,20.25,11.4,68.6,114.3,0.483,0.287,0.58,55.5,54.8,8.4,14.6,0.542,16.3,37.3
25,Eastern Kentucky,2014,0,0.6,-4.34,67.4,116.3,0.441,0.446,0.611,44.3,56.5,13.0,6.4,0.574,14.1,23.6
26,New Mexico,2014,0,12.72,4.84,65.6,111.2,0.466,0.32,0.556,53.8,61.6,7.2,13.3,0.511,13.8,32.5
27,Stanford,2014,2,13.42,9.0,67.1,108.0,0.45,0.293,0.553,51.3,46.3,7.9,11.6,0.513,14.7,29.3
28,Syracuse,2014,1,16.05,7.25,60.5,111.6,0.382,0.27,0.522,52.8,49.1,13.1,17.2,0.482,12.1,38.1
29,Western Michigan,2014,0,1.73,-1.45,66.5,106.5,0.508,0.352,0.568,51.3,48.3,8.7,9.6,0.52,18.2,31.6
30,Ohio State,2014,0,17.84,8.12,65.0,106.1,0.423,0.329,0.54,50.2,49.9,11.8,12.2,0.503,14.9,29.6
31,Dayton,2014,3,10.55,5.34,65.4,109.6,0.406,0.319,0.555,52.7,51.9,9.1,7.3,0.524,15.5,34.0
32,Wichita State,2014,1,16.65,1.74,64.5,116.1,0.472,0.367,0.569,55.3,54.8,10.6,15.0,0.526,13.6,35.1
33,Cal Poly,2014,0,-1.34,1.69,60.8,103.5,0.326,0.354,0.501,48.8,52.3,9.6,8.0,0.466,12.4,31.8
34,Kentucky,2014,5,18.07,9.9,65.9,112.4,0.518,0.276,0.543,56.6,44.4,7.1,14.9,0.5,14.5,41.4
35,Kansas State,2014,0,12.14,8.47,65.6,104.2,0.403,0.325,0.52,50.7,63.0,9.4,8.0,0.488,15.6,34.7
36,Louisville,2014,2,24.69,4.8,69.0,117.4,0.412,0.351,0.562,52.1,54.0,14.5,12.5,0.535,12.8,37.1
37,Manhattan,2014,0,6.04,-0.9,70.3,107.1,0.555,0.307,0.547,50.7,52.3,11.5,15.3,0.507,16.8,34.4
38,Saint Louis,2014,1,11.63,4.24,67.4,102.4,0.404,0.322,0.533,51.0,58.1,10.9,9.9,0.494,16.2,29.4
39,NC State,2014,0,9.02,7.44,64.9,108.1,0.37,0.255,0.529,49.5,49.1,7.3,10.8,0.5,13.4,34.2
40,Michigan,2014,3,18.52,9.65,62.5,117.5,0.349,0.401,0.592,50.1,55.6,8.2,6.3,0.557,12.7,28.6
41,Wofford,2014,0,-4.32,-5.95,63.1,105.6,0.328,0.302,0.529,51.0,52.4,9.8,4.6,0.502,14.4,31.7
42,Texas,2014,1,12.67,9.15,69.1,107.0,0.434,0.26,0.514,54.6,49.9,8.2,15.8,0.474,14.4,39.6
43,Arizona State,2014,0,13.32,7.41,69.0,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5
44,Duke,2014,0,19.51,8.48,65.5,119.4,0.388,0.397,0.574,51.5,54.8,10.6,7.4,0.538,12.1,34.5
45,Mercer,2014,1,5.33,-3.42,65.8,115.8,0.384,0.367,0.582,52.9,59.7,8.6,11.8,0.547,14.7,34.0
46,Massachusetts,2014,0,10.61,6.0,71.7,105.3,0.392,0.261,0.538,51.9,55.4,9.5,12.3,0.504,16.1,34.4
47,Tennessee,2014,2,17.34,7.84,62.8,114.2,0.416,0.308,0.545,56.2,50.9,8.2,12.0,0.503,13.7,39.8
48,Arizona,2014,3,23.36,9.04,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9.0,11.5,0.517,13.2,36.4
49,Weber State,2014,0,-0.92,-4.23,64.3,111.3,0.498,0.367,0.592,52.5,55.6,6.5,9.0,0.547,16.7,28.9
50,Gonzaga,2014,1,15.56,5.36,67.2,114.1,0.404,0.328,0.59,52.3,54.0,9.7,10.2,0.56,15.2,30.6
51,Oklahoma State,2014,0,19.02,8.34,69.6,112.8,0.497,0.338,0.569,48.8,51.6,10.8,12.2,0.524,12.9,28.0
52,San Diego State,2014,2,14.95,4.86,63.9,109.2,0.449,0.258,0.519,53.6,40.8,11.8,14.1,0.481,12.7,36.7
53,New Mexico State,2014,0,6.16,-2.58,66.9,113.8,0.535,0.273,0.576,53.5,50.6,6.9,13.5,0.539,16.0,37.5
54,Oklahoma,2014,0,14.91,8.97,71.7,112.9,0.394,0.37,0.56,50.9,53.1,9.4,8.4,0.517,13.5,32.4
55,North Dakota State,2014,1,6.31,-0.02,63.9,117.7,0.409,0.275,0.593,53.2,43.0,9.7,13.1,0.555,13.4,31.7
56,Wisconsin,2014,4,19.69,10.19,63.3,115.7,0.426,0.391,0.575,51.1,50.5,7.6,8.0,0.533,11.2,28.1
57,American,2014,0,0.69,-3.25,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5
58,Oregon,2014,1,15.75,8.05,69.9,115.0,0.438,0.337,0.583,50.7,53.0,10.9,8.7,0.535,14.0,32.2
59,Brigham Young,2014,0,11.63,5.72,73.5,111.9,0.483,0.228,0.545,53.3,53.8,9.6,7.3,0.503,12.8,34.7
60,Creighton,2014,1,18.03,7.17,65.3,120.6,0.339,0.446,0.616,51.7,64.2,6.1,3.8,0.589,13.3,27.7
61,Louisiana,2014,0,2.91,-0.28,71.2,111.4,0.429,0.315,0.554,52.3,47.8,9.8,10.2,0.522,15.2,36.3
62,Baylor,2014,2,15.8,10.11,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8.0,14.0,0.521,14.7,40.6
63,Nebraska,2014,0,10.13,8.5,65.4,102.2,0.423,0.335,0.528,48.6,42.3,10.6,9.3,0.483,14.7,25.7
