,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
38,Miami (FL),2023,4,13.98,6.84,68.9,114.3,0.307,0.342,0.579,52.0,50.6,10.5,8.4,0.543,14.0,31.8
39,Drake,2023,0,7.85,-1.12,67.0,109.2,0.279,0.37,0.569,52.2,50.2,7.8,7.4,0.537,13.8,24.3
40,Texas,2023,3,20.55,10.42,70.1,110.1,0.305,0.345,0.565,49.8,56.7,11.1,9.8,0.533,14.3,28.3
41,Colgate,2023,0,2.21,-5.85,68.2,114.5,0.269,0.348,0.594,51.7,61.1,10.4,7.7,0.581,13.4,25.5
42,Texas A&M,2023,0,13.75,7.41,67.1,108.5,0.451,0.345,0.543,53.4,52.6,10.0,7.9,0.488,15.5,36.7
43,Penn State,2023,1,13.05,9.02,64.4,110.4,0.213,0.471,0.575,48.2,51.9,6.6,5.8,0.554,12.5,19.2
44,Xavier,2023,2,16.03,9.16,72.0,112.1,0.314,0.312,0.578,53.9,63.6,8.8,7.9,0.552,15.0,30.7
45,Kennesaw State,2023,0,0.6,-2.06,69.8,106.4,0.358,0.387,0.555,50.9,53.9,11.2,8.0,0.531,15.5,27.9
46,Iowa State,2023,0,15.36,10.39,65.7,102.2,0.279,0.338,0.523,52.5,54.8,13.3,11.3,0.499,16.7,33.9
47,Pittsburgh,2023,1,10.59,5.21,68.1,110.4,0.329,0.434,0.562,51.1,54.4,7.6,11.4,0.525,14.3,29.5
48,Kansas,2023,1,19.19,11.83,70.2,106.8,0.298,0.338,0.555,50.8,58.9,12.5,10.2,0.526,15.4,28.7
49,Howard,2023,0,-5.04,-5.13,71.8,104.4,0.333,0.37,0.558,51.7,56.0,10.0,8.5,0.527,19.5,34.1
50,Arkansas,2023,2,15.98,9.87,70.2,105.1,0.393,0.277,0.545,51.7,48.1,11.9,13.1,0.509,15.8,30.7
51,Illinois,2023,0,14.82,7.67,69.5,105.7,0.343,0.419,0.542,52.8,46.8,9.9,13.8,0.514,15.8,31.6
52,Connecticut,2023,6,22.95,8.51,68.4,114.9,0.308,0.417,0.573,56.7,63.2,9.2,12.7,0.539,15.8,38.4
53,Iona,2023,0,7.62,-2.75,68.8,110.1,0.29,0.32,0.548,50.4,53.1,10.8,14.6,0.516,13.1,31.6
54,Saint Mary's (CA),2023,1,17.41,7.17,63.8,109.6,0.32,0.369,0.55,55.3,49.1,10.6,9.9,0.522,14.2,32.9
55,Virginia Commonwealth,2023,0,9.9,1.95,68.3,103.8,0.416,0.327,0.555,50.1,52.8,13.0,12.8,0.52,17.3,28.9
56,UCLA,2023,2,22.11,8.65,67.2,110.3,0.274,0.29,0.54,52.2,52.1,12.5,11.6,0.511,12.8,33.0
57,UNC Asheville,2023,0,-1.74,-4.35,69.3,105.8,0.408,0.374,0.577,50.5,49.7,9.0,10.0,0.547,18.0,26.3
58,Northwestern,2023,1,13.68,8.71,65.0,103.5,0.297,0.41,0.513,49.6,54.2,12.0,12.7,0.473,12.7,28.5
59,Boise State,2023,0,12.78,6.2,66.8,106.8,0.303,0.378,0.553,52.6,43.8,7.5,8.0,0.521,14.6,27.4
60,Gonzaga,2023,3,18.99,8.04,71.9,119.5,0.337,0.323,0.602,54.0,50.7,10.0,9.3,0.582,13.0,31.4
61,Grand Canyon,2023,0,4.42,1.27,66.9,111.5,0.358,0.418,0.573,52.1,48.4,7.3,8.1,0.542,15.4,30.8
62,TCU,2023,1,15.6,8.77,70.9,105.8,0.341,0.299,0.533,50.7,58.5,11.3,12.5,0.5,14.4,32.2
63,Arizona State,2023,0,11.29,8.17,69.0,101.9,0.312,0.393,0.515,48.8,56.6,10.2,13.3,0.484,14.5,29.2
