,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Alabama,2023,2,23.18,9.64,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2
1,Texas A&M-Corpus Christi,2023,0,-2.58,-7.03,71.7,110.9,0.348,0.342,0.559,52.6,55.2,11.7,5.3,0.513,15.2,33.7
2,Maryland,2023,1,14.59,8.36,64.5,107.7,0.343,0.369,0.545,51.1,46.2,8.4,10.1,0.508,14.3,30.0
3,West Virginia,2023,0,15.94,10.88,69.6,108.8,0.394,0.363,0.557,52.0,50.1,9.6,8.6,0.515,16.0,34.0
4,Virginia,2023,0,13.28,5.98,62.5,108.1,0.347,0.356,0.544,50.2,65.4,10.9,13.8,0.512,12.1,25.6
5,Furman,2023,1,4.88,-2.91,69.4,115.4,0.341,0.464,0.588,51.2,59.1,9.4,8.4,0.557,13.8,28.8
6,San Diego State,2023,5,15.81,8.91,66.6,106.1,0.327,0.346,0.533,53.0,51.1,10.0,11.7,0.498,14.8,31.9
7,College of Charleston,2023,0,8.4,-4.01,70.7,112.5,0.328,0.477,0.551,54.3,49.8,10.4,7.7,0.515,14.1,35.2
8,Arizona,2023,0,19.08,8.34,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7
9,Princeton,2023,2,4.76,-0.97,69.0,108.1,0.302,0.418,0.554,54.2,49.6,7.0,8.3,0.526,15.0,29.1
10,Missouri,2023,1,11.4,6.89,70.0,112.0,0.291,0.432,0.58,44.7,56.5,14.5,8.5,0.55,14.1,26.3
11,Utah State,2023,0,14.22,6.81,69.2,112.6,0.343,0.425,0.596,53.0,61.8,7.2,8.6,0.562,15.6,27.3
12,Baylor,2023,1,17.3,10.53,67.8,113.3,0.368,0.449,0.57,51.5,54.9,9.6,6.9,0.532,15.2,34.4
13,UC Santa Barbara,2023,0,3.3,-2.03,65.5,109.1,0.343,0.296,0.575,51.3,53.6,9.7,6.7,0.545,15.4,26.7
14,Creighton,2023,3,17.83,9.8,69.3,109.6,0.284,0.417,0.576,52.7,57.3,7.2,9.2,0.542,14.9,25.3
15,NC State,2023,0,12.5,5.58,69.8,110.9,0.253,0.371,0.541,51.2,44.2,11.2,11.8,0.515,11.6,30.4
16,Purdue,2023,0,18.23,8.32,64.2,112.8,0.372,0.384,0.558,58.1,61.3,7.4,9.9,0.518,14.6,38.4
17,Fairleigh Dickinson,2023,1,-8.97,-9.83,69.8,109.7,0.271,0.379,0.549,50.3,52.2,11.3,6.0,0.517,14.0,31.9
18,Memphis,2023,0,14.5,6.9,72.2,108.7,0.354,0.291,0.567,50.4,54.4,11.8,13.1,0.53,16.0,31.2
19,Florida Atlantic,2023,4,13.85,2.23,68.5,112.8,0.294,0.44,0.572,54.2,51.8,9.4,6.7,0.547,14.8,31.6
20,Tennessee,2023,2,20.83,7.97,65.9,107.0,0.307,0.401,0.53,54.6,66.2,12.5,11.8,0.499,15.2,36.4
21,Louisiana,2023,0,4.26,-0.51,69.2,111.4,0.365,0.322,0.568,54.5,51.5,10.3,7.5,0.542,15.2,34.0
22,Duke,2023,1,15.84,7.45,65.5,109.5,0.299,0.353,0.548,55.7,56.2,8.6,12.2,0.511,15.4,35.9
23,Oral Roberts,2023,0,8.55,-2.84,71.5,116.5,0.246,0.46,0.585,50.0,48.6,9.5,14.0,0.558,11.7,25.4
24,Marquette,2023,1,17.07,8.01,69.3,112.9,0.27,0.42,0.582,47.3,59.1,13.0,8.4,0.56,13.6,26.2
25,Vermont,2023,0,1.65,-3.11,65.5,109.7,0.285,0.429,0.573,49.1,51.6,8.9,8.3,0.551,12.8,20.3
26,Michigan State,2023,2,14.26,11.26,65.4,106.8,0.272,0.33,0.549,52.2,56.5,7.1,8.4,0.517,14.4,27.6
27,Southern California,2023,0,13.06,8.0,68.3,105.7,0.332,0.33,0.55,49.6,52.0,10.0,13.4,0.512,15.9,28.8
28,Kansas State,2023,3,15.78,9.48,70.5,106.2,0.361,0.361,0.562,50.5,63.6,11.2,7.7,0.523,17.0,29.9
29,Montana State,2023,0,2.17,-1.44,67.9,108.1,0.434,0.342,0.572,51.8,49.8,9.6,8.4,0.526,15.5,26.6
30,Kentucky,2023,1,14.75,8.08,66.8,110.7,0.319,0.3,0.538,56.7,55.1,9.6,10.0,0.506,14.5,39.2
31,Providence,2023,0,12.89,6.56,68.2,111.2,0.363,0.319,0.551,54.0,53.5,9.9,11.2,0.511,14.3,34.8
32,Houston,2023,2,22.2,4.79,64.8,115.5,0.289,0.379,0.553,55.1,53.9,12.2,16.7,0.523,12.9,37.1
33,Northern Kentucky,2023,0,-0.81,-2.87,63.5,104.8,0.278,0.414,0.525,49.1,55.0,14.5,8.1,0.497,14.9,32.2
34,Iowa,2023,0,14.1,8.71,69.6,113.7,0.323,0.375,0.551,51.3,57.5,9.3,8.3,0.517,11.9,32.1
35,Auburn,2023,1,14.34,9.28,68.7,105.6,0.363,0.352,0.53,50.4,54.7,11.2,13.6,0.495,15.1,32.8
36,Indiana,2023,1,14.96,8.9,68.4,109.0,0.295,0.266,0.561,51.0,53.6,8.5,13.6,0.535,14.7,28.1
37,Kent State,2023,0,7.59,-1.16,69.7,109.0,0.308,0.384,0.546,50.5,45.1,12.6,12.1,0.514,14.0,31.0
