,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Virginia,2019,6,25.46,10.15,60.8,116.3,0.291,0.395,0.58,53.9,55.9,9.0,13.0,0.552,12.8,29.7
1,Gardner-Webb,2019,0,-2.61,-4.43,68.5,110.9,0.378,0.366,0.587,49.2,52.6,9.7,8.8,0.558,15.0,24.5
2,Mississippi,2019,0,12.32,8.13,69.2,108.4,0.309,0.399,0.568,51.1,54.2,10.2,9.6,0.531,16.0,30.1
3,Oklahoma,2019,1,15.3,12.21,69.3,102.5,0.313,0.331,0.534,50.2,48.7,8.6,8.3,0.504,15.0,25.6
4,Kansas State,2019,0,15.39,9.18,64.9,101.3,0.306,0.384,0.52,50.9,57.6,11.6,7.7,0.493,15.2,28.4
5,UC Irvine,2019,1,5.7,-2.3,66.2,107.8,0.296,0.325,0.543,54.8,48.5,8.5,10.9,0.516,15.2,34.0
6,Wisconsin,2019,0,17.9,11.01,64.8,103.9,0.273,0.346,0.531,49.8,49.2,7.9,11.0,0.511,13.0,24.3
7,Oregon,2019,2,13.95,6.13,65.5,106.2,0.294,0.395,0.549,51.1,52.3,11.6,14.6,0.52,15.4,29.1
8,Tennessee,2019,2,21.55,10.16,69.4,116.2,0.333,0.32,0.587,52.3,59.7,8.5,15.2,0.554,13.7,30.9
9,Colgate,2019,0,1.23,-3.83,67.8,110.3,0.282,0.409,0.585,52.7,56.6,8.9,10.0,0.559,16.8,29.1
10,Cincinnati,2019,0,14.53,5.5,65.0,109.5,0.376,0.333,0.528,53.7,53.4,9.3,14.5,0.49,13.3,36.9
11,Iowa,2019,1,14.27,9.84,70.2,110.4,0.423,0.39,0.569,50.6,59.3,8.5,9.0,0.527,15.1,29.5
12,Purdue,2019,3,21.4,11.99,66.1,114.4,0.299,0.455,0.563,53.7,53.6,9.1,12.6,0.536,13.5,33.8
13,Old Dominion,2019,0,3.74,-1.18,65.6,100.2,0.289,0.373,0.499,53.2,53.3,8.6,14.3,0.471,15.0,31.8
14,Villanova,2019,1,14.33,7.97,65.0,112.2,0.344,0.535,0.565,51.3,56.9,8.2,8.7,0.532,14.2,30.1
15,Saint Mary's (CA),2019,0,12.58,4.4,64.3,112.2,0.291,0.352,0.568,54.4,37.9,9.2,6.9,0.538,14.1,30.8
16,North Carolina,2019,2,23.94,11.35,75.9,112.7,0.302,0.358,0.56,56.6,60.6,9.2,9.5,0.529,14.6,34.8
17,Iona,2019,0,-4.78,-5.5,71.4,107.4,0.368,0.445,0.568,48.0,50.4,9.5,7.7,0.53,15.4,24.3
18,Utah State,2019,0,11.98,0.89,70.0,111.5,0.367,0.379,0.575,56.2,62.4,8.7,12.2,0.538,15.8,31.9
19,Washington,2019,1,12.01,7.01,67.4,103.2,0.347,0.399,0.551,47.6,47.5,13.3,16.3,0.521,17.4,28.8
20,Kansas,2019,1,18.35,12.79,70.3,106.5,0.325,0.349,0.555,52.1,48.3,9.5,10.9,0.526,16.1,29.9
21,Northeastern,2019,0,3.95,-0.7,66.3,111.7,0.343,0.464,0.597,49.7,54.5,9.2,6.0,0.565,15.1,22.5
22,Auburn,2019,4,20.84,10.92,69.2,114.1,0.312,0.494,0.569,49.2,52.1,13.2,15.6,0.543,14.3,31.6
23,New Mexico State,2019,0,10.05,-2.38,68.3,113.9,0.341,0.467,0.562,57.2,53.4,8.2,8.1,0.538,14.7,36.7
24,Kentucky,2019,3,21.43,10.29,67.3,111.9,0.419,0.296,0.571,56.9,51.2,8.8,13.4,0.53,15.9,36.4
25,Abilene Christian,2019,0,-1.91,-7.34,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8.0,0.535,15.5,28.8
