,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
26,Wofford,2019,1,13.92,0.8,68.5,119.2,0.271,0.436,0.598,54.5,50.6,9.6,9.1,0.58,13.5,32.5
27,Seton Hall,2019,0,10.25,8.34,70.1,104.1,0.345,0.367,0.533,50.0,51.7,9.8,11.2,0.499,15.2,29.6
28,Houston,2019,2,18.91,4.61,67.3,111.8,0.316,0.426,0.55,54.9,55.8,9.6,13.4,0.521,13.9,33.8
29,Georgia State,2019,0,2.44,0.65,71.3,107.1,0.353,0.436,0.565,45.4,46.0,11.1,14.0,0.543,14.5,23.1
30,Iowa State,2019,0,18.07,9.3,68.2,112.7,0.3,0.396,0.575,50.3,54.1,10.3,12.5,0.548,13.9,28.4
31,Ohio State,2019,1,13.89,11.0,66.7,103.2,0.337,0.401,0.54,50.9,58.9,8.8,7.0,0.503,16.4,27.6
32,Duke,2019,3,26.9,11.98,73.2,112.6,0.332,0.373,0.561,53.8,52.4,12.4,16.4,0.536,14.8,35.3
33,North Dakota State,2019,0,-4.01,-2.07,66.8,108.5,0.318,0.472,0.576,48.7,46.0,6.8,6.6,0.54,14.2,20.6
34,Virginia Commonwealth,2019,0,11.96,2.87,69.0,102.1,0.357,0.412,0.535,50.8,54.9,11.5,12.2,0.501,17.3,31.0
35,Central Florida,2019,1,13.37,5.58,67.3,107.0,0.453,0.356,0.557,51.5,53.6,8.5,12.6,0.529,15.5,29.0
36,Virginia Tech,2019,2,19.28,7.79,64.4,113.3,0.319,0.437,0.588,51.9,59.5,10.4,8.4,0.556,15.2,29.2
37,Saint Louis,2019,0,5.06,2.23,67.0,99.4,0.394,0.329,0.492,54.5,53.8,10.5,11.9,0.467,16.0,35.7
38,Mississippi State,2019,0,15.96,9.07,68.6,111.9,0.326,0.391,0.574,52.8,51.4,11.7,14.0,0.546,16.5,34.6
39,Liberty,2019,1,5.27,-3.88,65.4,112.8,0.265,0.442,0.596,51.5,55.2,9.5,8.1,0.569,15.1,25.1
40,Michigan State,2019,4,24.93,12.34,68.1,113.1,0.336,0.378,0.585,56.1,66.8,7.5,13.7,0.552,16.0,33.2
41,Bradley,2019,0,-0.08,-0.9,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8.0,11.6,0.497,16.7,26.9
42,Louisville,2019,0,17.28,11.04,68.4,107.4,0.349,0.437,0.553,52.4,53.6,6.3,7.9,0.509,15.2,29.0
43,Minnesota,2019,1,12.52,11.27,67.9,103.7,0.416,0.296,0.521,51.2,59.0,7.1,10.1,0.482,14.6,30.9
44,Louisiana State,2019,2,16.5,9.16,70.6,111.1,0.371,0.342,0.553,53.0,45.7,12.2,11.8,0.512,15.1,36.2
45,Yale,2019,0,5.52,-1.24,72.9,109.7,0.307,0.35,0.584,52.9,56.3,8.0,11.2,0.556,15.9,25.8
46,Maryland,2019,1,16.01,10.09,66.6,107.3,0.328,0.37,0.55,56.0,52.1,6.5,13.4,0.514,16.5,34.0
47,Belmont,2019,0,9.12,-2.6,74.2,116.2,0.286,0.44,0.603,52.2,61.9,8.9,9.1,0.58,13.7,25.1
48,Gonzaga,2019,3,27.79,5.01,71.7,122.2,0.353,0.353,0.62,54.7,56.8,10.5,13.9,0.59,13.1,30.4
49,Fairleigh Dickinson,2019,0,-6.09,-7.24,68.7,107.5,0.362,0.347,0.576,49.3,52.8,10.7,10.5,0.544,17.3,28.8
50,Syracuse,2019,0,13.73,10.09,67.2,103.4,0.368,0.432,0.529,48.4,50.5,12.1,16.8,0.496,15.9,30.0
51,Baylor,2019,1,13.38,9.26,66.5,107.6,0.323,0.408,0.538,54.1,54.4,9.2,13.8,0.512,16.4,37.6
52,Florida State,2019,2,17.99,10.26,69.5,106.3,0.358,0.377,0.545,53.2,49.5,10.2,12.7,0.505,16.2,32.3
53,Vermont,2019,0,4.88,-4.18,66.5,110.2,0.359,0.403,0.568,53.2,46.2,8.3,11.9,0.53,14.6,27.3
54,Marquette,2019,0,14.78,6.96,70.7,108.2,0.351,0.417,0.572,53.0,51.1,6.9,11.2,0.535,16.9,29.1
55,Murray State,2019,1,8.96,-3.11,71.8,115.1,0.335,0.364,0.586,52.1,59.8,10.5,11.5,0.557,14.7,31.3
56,Michigan,2019,2,21.82,10.55,65.4,106.5,0.275,0.399,0.542,50.7,54.4,9.3,10.3,0.516,12.3,23.9
57,Montana,2019,0,1.5,-5.05,68.6,110.6,0.313,0.385,0.585,51.8,52.3,9.5,8.8,0.564,15.4,26.6
58,Nevada,2019,0,16.0,2.68,70.7,113.2,0.408,0.428,0.57,51.8,53.9,8.8,11.2,0.537,12.9,27.1
59,Florida,2019,1,15.42,11.22,64.7,103.7,0.299,0.433,0.53,49.2,51.0,10.9,11.0,0.498,15.4,30.6
60,Texas Tech,2019,5,22.79,9.53,67.6,106.9,0.329,0.36,0.567,50.8,52.3,10.7,15.4,0.535,15.8,26.3
61,Northern Kentucky,2019,0,4.67,-2.39,70.0,111.3,0.354,0.412,0.574,53.2,60.5,8.8,11.5,0.553,15.6,30.6
62,Buffalo,2019,1,15.56,2.62,74.5,112.8,0.327,0.436,0.561,52.4,55.3,9.8,10.1,0.535,13.8,31.8
63,Arizona State,2019,0,10.28,6.04,72.5,105.4,0.438,0.355,0.543,52.6,51.1,8.5,9.6,0.506,16.1,31.3
