,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
18,Seton Hall,2018,1,15.67,10.11,71.1,111.0,0.352,0.33,0.558,53.1,54.3,8.6,9.1,0.529,15.2,34.2
19,NC State,2018,0,12.91,6.7,72.1,112.3,0.342,0.344,0.562,50.3,55.0,10.2,9.2,0.534,14.3,33.4
20,Auburn,2018,1,15.97,7.29,73.4,111.5,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,32.0
21,College of Charleston,2018,0,1.83,-3.29,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.7
22,Clemson,2018,2,17.16,9.25,67.5,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27.1
23,New Mexico State,2018,0,9.06,-1.1,70.1,107.5,0.287,0.367,0.538,56.0,49.9,7.9,8.6,0.519,15.2,34.2
24,Duke,2018,3,24.43,9.7,70.6,118.6,0.346,0.363,0.586,55.5,57.6,10.5,12.4,0.559,14.7,38.8
25,Iona,2018,0,0.75,-2.19,71.5,109.2,0.302,0.408,0.569,47.2,56.6,9.3,7.6,0.539,14.3,24.4
26,Rhode Island,2018,1,11.81,4.61,69.2,109.0,0.301,0.32,0.539,50.0,54.5,10.5,9.5,0.511,13.1,31.0
27,Oklahoma,2018,0,13.81,10.56,76.5,109.8,0.332,0.405,0.569,49.8,50.2,8.4,11.0,0.535,15.2,28.4
28,Michigan State,2018,1,22.41,7.1,68.1,117.3,0.359,0.363,0.601,57.6,67.6,6.0,18.5,0.569,16.4,37.0
29,Bucknell,2018,0,4.49,-3.46,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,27.0
30,TCU,2018,0,16.38,9.68,70.0,115.1,0.342,0.352,0.59,54.5,62.8,9.1,9.4,0.566,15.4,34.1
31,Syracuse,2018,2,12.89,10.02,64.2,102.4,0.405,0.328,0.518,52.6,47.5,10.7,17.4,0.469,16.2,34.6
32,Virginia,2018,0,22.2,9.05,60.6,110.4,0.245,0.35,0.555,51.2,54.0,11.2,12.3,0.527,12.3,26.9
33,Maryland-Baltimore County,2018,1,-2.02,-3.84,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8
34,Creighton,2018,0,16.35,8.1,72.8,113.8,0.259,0.45,0.599,51.0,58.3,7.7,6.7,0.575,13.9,22.5
35,Kansas State,2018,3,12.85,8.74,66.6,106.4,0.338,0.368,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.8
36,Arizona,2018,0,15.67,6.84,68.6,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12.0,0.563,15.3,33.3
37,Buffalo,2018,1,7.99,0.25,73.9,113.4,0.298,0.406,0.572,51.4,54.0,8.4,10.1,0.549,14.3,31.8
38,Kentucky,2018,2,17.24,10.73,69.8,109.6,0.44,0.258,0.555,53.6,49.0,8.0,13.7,0.518,15.8,35.5
39,Davidson,2018,0,11.02,2.57,65.3,115.7,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.6
40,Cincinnati,2018,1,20.25,3.53,66.1,112.3,0.36,0.353,0.543,55.6,60.4,10.8,15.8,0.512,14.1,38.5
41,Georgia State,2018,0,3.22,-2.78,67.9,108.8,0.303,0.413,0.562,47.7,48.6,10.7,15.1,0.54,14.5,26.0
42,Nevada,2018,2,14.44,4.93,70.5,115.5,0.363,0.404,0.582,49.4,57.0,8.7,10.9,0.548,12.0,26.4
43,Texas,2018,0,13.96,10.67,66.9,103.9,0.33,0.381,0.527,50.0,44.7,8.9,12.8,0.5,14.6,29.5
44,Tennessee,2018,1,18.2,10.12,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3
45,Wright State,2018,0,0.58,-3.64,69.9,101.4,0.358,0.348,0.529,51.8,52.7,9.4,6.5,0.491,16.3,28.9
46,Miami (FL),2018,0,12.83,6.96,67.8,108.0,0.291,0.36,0.551,50.6,48.5,9.6,11.0,0.531,14.6,29.1
47,Loyola (IL),2018,4,10.37,1.8,65.9,108.6,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,22.4
48,Xavier,2018,1,19.06,9.43,72.3,115.5,0.41,0.358,0.601,55.1,57.3,8.0,8.4,0.559,15.2,30.2
49,Texas Southern,2018,0,-7.53,-5.53,72.7,105.8,0.429,0.37,0.548,48.5,47.4,7.9,9.3,0.505,15.1,28.4
50,Missouri,2018,0,13.81,9.19,67.3,107.1,0.39,0.453,0.573,53.2,55.8,7.6,11.3,0.537,18.3,31.2
51,Florida State,2018,3,15.78,8.5,72.2,109.5,0.37,0.368,0.562,51.8,52.6,9.4,14.0,0.532,15.4,32.0
52,Gonzaga,2018,2,18.44,2.6,69.7,118.2,0.321,0.394,0.593,56.0,50.1,8.9,9.6,0.57,13.9,32.9
53,UNC Greensboro,2018,0,4.54,-3.87,66.9,107.1,0.265,0.452,0.548,55.0,52.7,11.2,12.4,0.525,17.1,34.2
54,Ohio State,2018,1,17.67,9.02,67.9,111.0,0.311,0.342,0.57,53.6,52.5,9.0,11.3,0.541,14.9,30.1
55,South Dakota State,2018,0,6.84,-0.38,72.3,115.7,0.354,0.432,0.59,52.2,46.6,6.7,5.9,0.554,12.3,24.8
56,North Carolina,2018,1,20.07,11.78,71.7,113.4,0.28,0.351,0.551,56.4,61.0,8.0,11.1,0.52,14.0,37.4
57,Lipscomb,2018,0,-2.1,-3.8,77.0,105.0,0.405,0.399,0.557,52.2,56.0,8.4,8.0,0.518,16.9,28.3
58,Texas A&M,2018,2,15.3,10.62,70.9,106.1,0.32,0.33,0.538,54.3,55.1,7.7,15.3,0.514,16.3,33.9
59,Providence,2018,0,11.12,10.23,69.5,104.1,0.386,0.329,0.534,49.6,53.9,9.6,9.8,0.496,15.1,28.8
60,Michigan,2018,5,19.03,9.41,65.7,111.0,0.307,0.433,0.564,50.3,53.6,9.6,8.1,0.545,12.4,25.4
61,Montana,2018,0,6.29,-2.24,69.9,108.8,0.386,0.272,0.549,53.3,45.3,10.9,9.2,0.513,15.0,33.3
62,Houston,2018,1,15.99,4.16,68.5,112.0,0.326,0.372,0.563,54.6,53.0,9.1,9.0,0.533,14.9,33.6
63,San Diego State,2018,0,12.23,3.91,70.4,109.6,0.357,0.36,0.553,53.7,54.1,8.9,9.4,0.519,14.6,31.9
