,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Villanova,2018,6,26.64,10.24,70.1,122.3,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.3
1,Radford,2018,0,-2.62,-4.09,63.4,104.3,0.307,0.397,0.528,52.3,52.0,9.7,9.1,0.494,16.1,33.7
2,Virginia Tech,2018,0,14.35,6.71,69.9,113.0,0.365,0.399,0.602,48.8,58.2,8.2,6.6,0.577,15.3,23.9
3,Alabama,2018,1,12.34,10.64,70.2,103.0,0.419,0.355,0.55,50.3,50.3,9.0,14.7,0.519,17.8,29.4
4,Wichita State,2018,0,16.58,5.46,70.0,117.3,0.348,0.392,0.583,57.1,63.7,6.6,11.1,0.551,14.1,35.6
5,Marshall,2018,1,4.21,0.44,76.3,108.7,0.335,0.453,0.583,46.7,59.0,9.1,12.7,0.548,15.5,22.5
6,West Virginia,2018,2,19.89,9.38,70.5,113.2,0.313,0.384,0.543,52.5,54.2,11.5,15.9,0.504,13.3,36.8
7,Murray State,2018,0,6.87,-3.53,68.1,115.3,0.381,0.399,0.591,54.1,54.1,9.9,8.7,0.558,15.3,33.0
8,Purdue,2018,2,23.41,8.74,68.1,117.7,0.356,0.401,0.606,51.8,57.9,8.3,12.5,0.577,14.0,27.8
9,Cal State Fullerton,2018,0,-0.93,-1.03,69.9,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18.0,27.1
10,Arkansas,2018,0,14.76,9.85,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7
11,Butler,2018,1,16.92,10.55,69.6,111.1,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.4
12,Texas Tech,2018,3,19.38,9.6,68.3,108.4,0.393,0.335,0.555,52.6,54.9,10.3,12.8,0.52,15.4,32.9
13,Stephen F. Austin,2018,0,2.66,-6.47,73.8,109.1,0.398,0.316,0.576,52.6,49.8,14.0,9.7,0.544,18.1,33.5
14,Florida,2018,1,16.66,10.08,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7
15,St. Bonaventure,2018,0,8.87,2.61,69.4,109.5,0.405,0.337,0.561,50.5,53.4,10.0,10.8,0.516,14.3,29.2
16,Kansas,2018,4,21.39,11.88,70.2,115.5,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,29.3
17,Pennsylvania,2018,0,2.24,-3.16,70.2,105.3,0.334,0.427,0.555,51.0,56.9,8.2,7.0,0.533,14.8,23.6
