,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,Baylor,2021,6,24.83,7.4,69.6,118.7,0.265,0.384,0.586,53.2,55.3,12.7,10.3,0.565,14.0,36.4
1,Hartford,2021,0,-3.45,-4.95,67.0,97.6,0.286,0.425,0.53,48.7,47.0,10.3,6.6,0.499,17.5,24.3
2,North Carolina,2021,0,14.79,9.52,71.8,104.8,0.342,0.279,0.514,56.8,55.3,9.8,12.8,0.483,16.6,40.6
3,Wisconsin,2021,1,17.22,11.93,65.8,105.4,0.262,0.409,0.533,49.0,54.0,8.5,10.7,0.499,12.1,23.6
4,Purdue,2021,0,15.55,11.23,66.5,105.8,0.317,0.378,0.542,54.5,55.9,7.6,11.4,0.51,16.0,32.6
5,North Texas,2021,1,7.58,1.02,65.2,106.1,0.271,0.377,0.571,51.8,52.0,9.9,8.4,0.544,17.4,28.1
6,Villanova,2021,2,17.47,9.19,65.7,113.3,0.3,0.448,0.566,50.9,57.1,7.7,5.7,0.532,12.1,27.5
7,Winthrop,2021,0,4.69,-7.15,72.5,108.8,0.356,0.393,0.555,56.1,53.8,10.3,6.5,0.526,16.4,35.0
8,Ohio State,2021,0,18.25,12.19,67.6,112.7,0.372,0.392,0.569,52.2,49.6,6.6,9.6,0.529,13.5,29.2
9,Oral Roberts,2021,2,1.73,-0.04,73.6,109.7,0.275,0.471,0.576,46.8,45.6,8.9,8.9,0.539,13.9,22.9
10,Florida,2021,1,13.7,9.82,70.6,104.6,0.339,0.338,0.567,51.5,44.2,10.2,14.1,0.531,18.7,30.6
11,Virginia Tech,2021,0,12.59,6.5,66.4,106.7,0.334,0.41,0.552,51.8,56.1,7.1,11.5,0.523,15.1,27.8
12,Arkansas,2021,3,17.8,7.18,75.1,108.0,0.327,0.339,0.544,52.6,49.8,10.4,13.0,0.508,14.7,31.3
13,Colgate,2021,0,13.66,-1.9,72.7,116.3,0.309,0.365,0.591,53.2,57.0,9.6,8.5,0.566,13.0,27.6
14,Texas Tech,2021,1,16.59,7.28,67.1,107.1,0.379,0.313,0.533,51.2,51.4,10.5,12.2,0.494,13.7,32.8
15,Utah State,2021,0,10.99,1.32,69.5,104.5,0.299,0.322,0.532,57.3,60.7,9.6,14.9,0.5,16.9,35.4
16,Illinois,2021,1,23.25,11.34,71.2,111.7,0.379,0.299,0.582,56.8,55.7,7.9,6.9,0.556,15.8,32.0
17,Drexel,2021,0,-0.97,-3.92,66.0,106.5,0.273,0.355,0.566,53.2,58.0,6.9,6.4,0.533,17.1,28.4
18,Loyola (IL),2021,2,15.12,1.37,63.8,110.5,0.322,0.375,0.592,54.2,60.9,10.8,7.0,0.567,16.4,25.9
19,Georgia Tech,2021,0,12.79,7.91,67.9,107.8,0.284,0.364,0.567,46.9,57.1,13.1,9.6,0.54,14.4,24.3
20,Oklahoma State,2021,1,13.65,9.78,73.0,102.7,0.376,0.322,0.547,51.5,47.2,10.0,11.3,0.512,18.2,31.1
21,Liberty,2021,0,4.06,-6.14,64.9,114.6,0.237,0.474,0.604,52.9,58.6,7.2,7.1,0.58,13.9,23.4
22,Tennessee,2021,0,16.87,8.46,68.7,104.6,0.344,0.346,0.537,51.4,58.8,10.6,14.1,0.496,15.7,31.3
23,Oregon State,2021,3,11.48,10.82,66.2,105.7,0.349,0.35,0.541,50.5,59.8,8.7,10.5,0.498,15.1,29.9
24,Houston,2021,4,21.66,5.37,66.1,115.1,0.303,0.42,0.542,56.2,52.2,12.1,14.7,0.51,13.2,39.4
25,Cleveland State,2021,0,-5.12,-4.82,67.6,102.6,0.325,0.343,0.532,49.4,52.9,10.1,7.8,0.505,16.2,30.5
26,Clemson,2021,0,12.49,9.49,64.9,99.6,0.232,0.434,0.53,49.9,56.8,9.3,9.2,0.5,17.1,26.4
27,Rutgers,2021,1,14.14,12.5,68.3,101.0,0.271,0.334,0.52,49.2,51.8,11.1,13.9,0.501,14.7,27.3
28,West Virginia,2021,1,15.36,10.05,70.6,108.2,0.379,0.331,0.53,51.8,52.9,10.6,7.7,0.489,14.1,35.5
29,Morehead State,2021,0,-0.95,-4.33,67.1,101.6,0.354,0.351,0.553,54.8,51.9,6.5,14.6,0.525,19.8,31.7
30,San Diego State,2021,0,14.36,2.99,66.9,109.6,0.335,0.408,0.557,52.8,54.2,12.2,9.9,0.526,14.4,29.0
31,Syracuse,2021,2,13.27,8.59,69.3,107.5,0.283,0.403,0.549,48.3,56.4,11.7,14.7,0.512,14.3,28.8
32,Gonzaga,2021,5,27.2,5.92,74.6,121.5,0.358,0.332,0.633,55.0,55.7,10.6,6.9,0.61,14.3,29.2
33,Norfolk State,2021,0,-6.16,-8.51,72.0,101.7,0.37,0.357,0.53,49.6,47.9,9.0,10.3,0.492,15.6,27.3
34,Oklahoma,2021,1,13.52,8.86,69.2,106.2,0.293,0.382,0.542,49.7,49.7,10.2,9.8,0.508,13.7,26.7
35,Missouri,2021,0,12.37,10.87,70.4,103.4,0.371,0.379,0.542,50.3,51.6,9.4,9.0,0.508,16.4,28.3
36,Virginia,2021,0,15.27,7.59,60.8,111.5,0.217,0.427,0.583,51.7,54.8,8.0,13.4,0.554,13.5,22.6
37,Ohio,2021,1,5.48,-0.57,71.6,110.6,0.295,0.39,0.572,51.2,60.0,9.0,5.9,0.548,14.8,28.2
38,Creighton,2021,2,16.28,8.54,69.6,108.3,0.257,0.436,0.564,49.4,55.2,9.9,9.0,0.55,14.0,24.3
39,UC Santa Barbara,2021,0,7.8,-2.08,67.2,112.0,0.34,0.34,0.575,54.2,59.3,10.9,7.5,0.541,14.2,29.5
40,Iowa,2021,1,21.4,10.43,71.0,117.5,0.32,0.398,0.574,51.8,64.4,7.8,11.6,0.547,11.5,30.5
41,Grand Canyon,2021,0,5.11,-3.46,68.2,110.7,0.314,0.358,0.57,56.8,57.7,7.1,9.1,0.547,16.2,32.4
42,Oregon,2021,2,16.15,9.65,65.8,109.9,0.26,0.376,0.565,50.8,49.9,10.9,10.7,0.542,14.7,28.8
43,Virginia Commonwealth,2021,0,11.3,4.76,67.9,101.2,0.34,0.349,0.55,49.6,52.7,13.0,14.8,0.509,18.3,28.0
44,Kansas,2021,1,15.29,10.26,69.7,104.3,0.298,0.367,0.531,52.0,52.6,9.9,10.9,0.499,14.8,30.5
45,Eastern Washington,2021,0,4.03,-3.15,71.8,109.0,0.302,0.403,0.576,50.7,54.7,6.7,7.4,0.54,14.5,23.0
46,Southern California,2021,3,20.5,10.65,67.7,109.0,0.363,0.31,0.551,54.4,50.7,6.9,12.9,0.528,15.4,34.4
47,Drake,2021,0,9.42,-0.48,66.8,112.8,0.239,0.316,0.563,53.7,46.6,10.3,8.4,0.542,13.3,31.1
48,Michigan,2021,3,22.0,11.25,67.8,111.3,0.304,0.339,0.581,54.7,57.5,6.3,10.1,0.547,14.7,28.9
49,Texas Southern,2021,0,-6.15,-9.03,73.9,99.5,0.379,0.271,0.521,53.4,45.2,9.4,12.1,0.482,17.8,31.9
50,Louisiana State,2021,1,15.7,9.14,72.6,112.1,0.34,0.37,0.56,50.4,42.0,10.6,8.2,0.523,13.5,31.2
51,St. Bonaventure,2021,0,13.44,4.49,65.3,107.3,0.28,0.319,0.53,52.3,56.5,9.0,12.5,0.498,14.0,32.7
52,Florida State,2021,2,17.12,9.16,70.0,109.1,0.324,0.349,0.572,52.6,52.4,10.3,14.3,0.54,17.6,33.7
53,UNC Greensboro,2021,0,3.48,-2.15,70.5,103.1,0.237,0.39,0.503,51.8,45.0,10.6,11.9,0.479,13.1,31.4
54,Colorado,2021,1,18.88,9.57,66.5,110.0,0.295,0.364,0.565,53.2,52.7,7.8,7.8,0.524,15.0,30.6
55,Georgetown,2021,0,10.13,10.36,70.4,101.0,0.308,0.389,0.532,53.3,51.7,8.3,10.4,0.494,18.5,31.9
56,Alabama,2021,2,19.58,10.01,74.7,106.3,0.288,0.465,0.544,51.7,50.2,11.3,10.6,0.517,15.9,31.8
57,Iona,2021,0,-1.2,-6.42,69.9,102.0,0.345,0.377,0.546,53.5,54.9,9.8,12.5,0.507,19.3,32.2
58,Connecticut,2021,0,15.77,8.59,66.2,107.8,0.29,0.334,0.522,53.6,49.3,9.3,14.6,0.49,14.5,37.0
59,Maryland,2021,1,13.94,11.97,65.9,104.5,0.329,0.433,0.564,49.1,55.1,7.6,10.0,0.538,15.3,20.2
60,Texas,2021,0,15.51,9.36,69.5,105.5,0.339,0.421,0.559,52.7,50.9,9.2,10.4,0.529,18.0,30.9
61,Abilene Christian,2021,1,6.27,-6.37,72.0,105.2,0.339,0.367,0.54,51.5,65.3,13.5,8.9,0.512,16.2,31.3
62,Brigham Young,2021,0,15.19,7.23,70.2,109.8,0.275,0.394,0.58,54.7,56.2,6.5,7.2,0.556,16.4,28.6
63,UCLA,2021,4,16.3,11.34,65.4,108.4,0.316,0.316,0.551,52.6,51.1,7.3,7.9,0.52,13.6,29.2
